,X Axis,Y Axis,Z Axis
612424,0.02401733,-0.010306,-1.01271176
612426,0.01799786,-0.00415313,-1.00654101
612429,0.01799786,-0.010306,-1.00654101
612431,0.01799786,-0.010306,-1.00654101
612433,-0.00006026,-0.0226118,-1.01271176
612435,0.01799786,-0.00415313,-0.99419951
612439,0.01799786,-0.010306,-1.00037026
612441,0.01799786,-0.010306,-1.00037026
612443,0.01799786,-0.010306,-1.00037026
612446,0.01799786,-0.010306,-1.00037026
612448,0.01799786,-0.00415313,-1.00037026
612450,-0.00006026,-0.0226118,-1.00654101
612453,0.02401733,-0.00415313,-1.00037026
612455,0.02401733,-0.00415313,-1.00654101
612457,0.01799786,0.00199974,-1.00654101
612460,0.01799786,-0.00415313,-1.00654101
612462,0.02401733,-0.00415313,-1.00654101
612464,0.01799786,-0.00415313,-1.00654101
612466,0.01197851,-0.0226118,-1.01888251
612469,0.02401733,-0.00415313,-1.00654101
612471,0.02401733,-0.00415313,-1.00654101
612473,0.02401733,0.00199974,-1.00654101
612476,0.01799786,-0.00415313,-1.00654101
612478,0.01799786,-0.00415313,-1.00654101
612481,0.02401733,-0.010306,-1.00037026
612484,0.02401733,-0.01645893,-1.01271176
612486,0.01799786,-0.00415313,-1.00654101
612488,0.02401733,-0.00415313,-1.00654101
612491,0.01799786,-0.00415313,-1.00654101
612493,0.01799786,-0.00415313,-1.00037026
612495,0.02401733,-0.010306,-1.00037026
612497,0.01799786,-0.010306,-1.00037026
612500,0.03003669,-0.00415313,-0.99419951
612502,0.02401733,-0.010306,-0.99419951
612504,0.02401733,-0.010306,-1.00037026
612507,0.02401733,-0.010306,-1.00037026
612509,0.02401733,-0.0226118,-1.00037026
612511,0.02401733,-0.01645893,-1.00654101
612514,0.02401733,-0.01645893,-1.00654101
612516,0.03003669,-0.010306,-1.00037026
612518,0.02401733,-0.01645893,-1.00654101
612520,0.02401733,-0.0226118,-1.00037026
612524,0.01799786,-0.0226118,-1.00654101
612526,0.02401733,-0.0226118,-1.00037026
612528,0.02401733,-0.0226118,-1.00654101
612531,0.02401733,-0.0226118,-1.00654101
612533,0.03003669,-0.010306,-1.01271176
612535,0.02401733,-0.010306,-1.00654101
612538,0.02401733,-0.010306,-1.00654101
612540,0.02401733,-0.01645893,-1.00654101
612542,0.02401733,-0.01645893,-1.00037026
612545,0.01799786,-0.01645893,-1.00037026
612547,0.01799786,-0.01645893,-0.99419951
612549,0.01799786,-0.010306,-1.00037026
612551,0.01799786,-0.010306,-1.00037026
612554,0.01197851,-0.010306,-1.00654101
612556,0.01799786,-0.01645893,-1.00654101
612558,0.01799786,-0.010306,-1.00037026
612561,0.01197851,-0.010306,-1.00037026
612563,0.01799786,-0.010306,-1.00654101
612566,0.01799786,-0.010306,-1.00654101
612569,0.01799786,-0.00415313,-1.00037026
612571,0.01197851,-0.010306,-1.00654101
612573,0.01799786,-0.010306,-1.00654101
612576,0.01197851,-0.010306,-1.00654101
612578,0.01799786,-0.00415313,-1.00654101
612580,0.01799786,-0.00415313,-1.00654101
612582,0.01799786,-0.00415313,-1.01271176
612585,0.01799786,-0.00415313,-1.00654101
612587,0.02401733,-0.00415313,-1.00654101
612589,0.01799786,-0.010306,-1.00654101
612592,0.01197851,-0.01645893,-1.00654101
612594,0.01799786,-0.01645893,-1.00654101
612596,0.01799786,-0.01645893,-1.00654101
612599,0.02401733,-0.01645893,-1.00654101
612601,0.01197851,-0.0226118,-1.00654101
612603,0.02401733,-0.010306,-1.00037026
612606,0.01799786,-0.010306,-1.00654101
612609,0.01799786,-0.010306,-1.00654101
612611,0.01799786,-0.010306,-1.00654101
612613,0.01799786,-0.010306,-1.00037026
612616,0.02401733,-0.010306,-1.00654101
612618,0.01799786,-0.01645893,-1.01271176
612620,0.01799786,-0.00415313,-1.01271176
612623,0.01799786,-0.00415313,-1.01271176
612625,0.01799786,-0.010306,-1.00654101
612627,0.01799786,-0.010306,-1.00654101
612630,0.01197851,-0.010306,-1.00037026
612632,0.01799786,-0.01645893,-1.00654101
612634,0.02401733,-0.0226118,-1.01271176
612637,0.01799786,-0.010306,-1.00037026
612639,0.01799786,-0.01645893,-1.00037026
612641,0.01799786,-0.01645893,-1.00654101
612643,0.01799786,-0.01645893,-1.00654101
612646,0.01799786,-0.01645893,-1.00654101
612648,0.01799786,-0.01645893,-1.00654101
612651,0.02401733,-0.01645893,-1.00654101
612654,0.01799786,-0.010306,-0.99419951
612656,0.02401733,-0.01645893,-1.00037026
612658,0.01799786,-0.01645893,-0.99419951
612661,0.01799786,-0.01645893,-1.00037026
612663,0.01799786,-0.01645893,-1.00037026
612665,0.01799786,-0.01645893,-1.00654101
612668,0.02401733,-0.010306,-1.00037026
612670,0.02401733,-0.01645893,-1.00654101
612672,0.01799786,-0.01645893,-1.00654101
612675,0.01799786,-0.010306,-1.00654101
612677,0.01799786,-0.01645893,-1.00037026
612679,0.01799786,-0.01645893,-1.00654101
612681,0.02401733,-0.01645893,-1.01271176
612684,0.02401733,-0.00415313,-1.00037026
612686,0.01799786,-0.01645893,-1.00654101
612688,0.01799786,-0.010306,-1.01271176
612691,0.01799786,-0.01645893,-1.01271176
612694,0.01197851,-0.01645893,-1.00654101
612696,0.02401733,-0.01645893,-1.01271176
612699,0.01799786,-0.01645893,-1.01271176
612701,0.01799786,-0.00415313,-1.00654101
612703,0.02401733,-0.010306,-1.00654101
612706,0.01799786,-0.010306,-1.00654101
612708,0.01799786,-0.01645893,-1.00654101
612710,0.01799786,-0.010306,-1.00654101
612712,0.02401733,-0.010306,-1.00654101
612715,0.02401733,-0.00415313,-1.00654101
612717,0.00595915,-0.01645893,-1.00654101
612719,0.01799786,-0.010306,-1.00654101
612722,0.01799786,-0.010306,-1.00037026
612724,0.01799786,-0.00415313,-1.00654101
612726,0.01799786,-0.00415313,-1.01271176
612729,0.01799786,-0.00415313,-1.00654101
612731,0.01799786,-0.00415313,-1.00654101
612733,0.00595915,-0.0226118,-1.01271176
612737,0.01799786,-0.010306,-1.00037026
612739,0.01799786,-0.010306,-1.00037026
612741,0.01799786,-0.010306,-1.00037026
612743,0.02401733,-0.010306,-1.00037026
612746,0.01799786,-0.01645893,-1.00037026
612748,0.01799786,-0.01645893,-1.00037026
612750,-0.00006026,-0.03491759,-1.01271176
612753,0.01799786,-0.01645893,-1.00654101
612755,0.01799786,-0.01645893,-1.00654101
612757,0.01799786,-0.01645893,-1.00654101
612760,0.01799786,-0.0226118,-1.00654101
612762,0.02401733,-0.01645893,-1.00654101
612764,0.02401733,-0.01645893,-1.00654101
612767,0.00595915,-0.02876472,-1.01271176
612769,0.02401733,-0.010306,-1.00654101
612771,0.02401733,-0.010306,-1.00654101
612773,0.01799786,-0.010306,-1.00654101
612776,0.01799786,-0.01645893,-1.00654101
612779,0.01799786,-0.01645893,-1.00654101
612781,0.02401733,-0.01645893,-1.00037026
612784,0.01799786,-0.03491759,-1.00654101
612786,0.02401733,-0.01645893,-1.00037026
612788,0.02401733,-0.010306,-1.00654101
612791,0.02401733,-0.01645893,-1.00654101
612793,0.02401733,-0.010306,-1.00654101
612795,0.01799786,-0.010306,-1.00037026
612797,0.02401733,-0.010306,-1.00037026
612800,0.03003669,-0.00415313,-1.00037026
612802,0.02401733,-0.010306,-1.00654101
612804,0.02401733,-0.010306,-1.00654101
612807,0.01799786,-0.010306,-1.00037026
612809,0.01799786,-0.010306,-1.00037026
612811,0.02401733,-0.010306,-1.00037026
612814,0.02401733,-0.010306,-1.00037026
612816,0.03003669,0.00199974,-0.99419951
612818,0.01799786,-0.010306,-1.00654101
612820,0.01799786,-0.010306,-1.00654101
612824,0.01197851,-0.010306,-1.00654101
612826,0.01799786,-0.010306,-1.00654101
612828,0.01799786,-0.010306,-1.00654101
612831,0.01799786,-0.010306,-1.00654101
612833,0.02401733,-0.00415313,-1.00037026
612835,0.01799786,-0.010306,-1.00654101
612838,0.01799786,-0.010306,-1.01271176
612840,0.01197851,-0.010306,-1.01271176
612842,0.01799786,-0.00415313,-1.00654101
612845,0.01799786,-0.010306,-1.01271176
612847,0.01799786,-0.00415313,-1.00654101
612849,0.01799786,0.00199974,-0.99419951
612851,0.01799786,-0.010306,-1.00037026
612854,0.01799786,-0.00415313,-1.00037026
612856,0.01799786,-0.010306,-1.00037026
612858,0.01799786,-0.010306,-0.99419951
612861,0.01799786,-0.010306,-1.00037026
612864,0.02401733,-0.010306,-1.00037026
612866,0.02401733,-0.00415313,-1.00037026
612869,0.02401733,-0.00415313,-1.00037026
612871,0.02401733,-0.010306,-1.00654101
612873,0.01799786,-0.00415313,-1.00654101
612876,0.01799786,-0.010306,-1.00654101
612878,0.01799786,-0.01645893,-1.00654101
612880,0.02401733,-0.010306,-1.00654101
612882,0.01799786,-0.010306,-1.01271176
612885,0.01799786,-0.00415313,-1.00654101
612887,0.03003669,-0.00415313,-1.00654101
612889,0.02401733,-0.010306,-1.00654101
612892,0.02401733,-0.010306,-1.00654101
612894,0.01799786,-0.010306,-1.00654101
612896,0.01799786,-0.010306,-1.00654101
612899,0.01799786,-0.01645893,-1.00654101
612901,0.01197851,-0.01645893,-1.00654101
612903,0.01799786,-0.01645893,-1.00037026
612907,0.01197851,-0.01645893,-1.00654101
612909,0.01799786,-0.010306,-1.00037026
612911,0.01799786,-0.010306,-1.00037026
612913,0.01799786,-0.01645893,-1.00037026
612916,0.01799786,-0.01645893,-1.00654101
612918,0.01197851,-0.0226118,-1.01271176
612920,0.01799786,-0.01645893,-1.00037026
612923,0.01799786,-0.0226118,-1.00654101
612925,0.01799786,-0.0226118,-1.00654101
612927,0.01799786,-0.01645893,-1.00654101
612930,0.01799786,-0.01645893,-1.00037026
612932,0.01799786,-0.010306,-1.00654101
612934,0.01799786,-0.01645893,-1.01271176
612937,0.01799786,-0.010306,-1.00037026
612939,0.01799786,-0.010306,-1.00654101
612941,0.01799786,-0.010306,-1.00037026
612944,0.01799786,-0.010306,-1.00037026
612946,0.01799786,-0.010306,-1.00037026
612948,0.02401733,-0.00415313,-1.00037026
612951,0.02401733,-0.010306,-1.00654101
612954,0.01799786,-0.00415313,-1.00654101
612956,0.02401733,-0.00415313,-1.00654101
612958,0.01799786,-0.00415313,-1.00654101
612961,0.02401733,-0.00415313,-1.00654101
612963,0.02401733,0.00199974,-1.00654101
612965,0.02401733,-0.00415313,-1.00037026
612968,0.03003669,0.00199974,-1.00037026
612970,0.01799786,-0.010306,-1.00037026
612972,0.01799786,-0.010306,-1.00037026
612974,0.01799786,-0.010306,-1.00037026
612977,0.01799786,-0.010306,-1.00037026
612979,0.01197851,-0.010306,-1.00654101
612981,0.01197851,-0.01645893,-1.00654101
612984,0.02401733,0.00199974,-1.00037026
612986,0.01799786,-0.010306,-1.00654101
612988,0.01799786,-0.010306,-1.00654101
612992,0.01799786,-0.010306,-1.00654101
612994,0.01799786,-0.010306,-1.00654101
612996,0.02401733,-0.010306,-1.00654101
612999,0.02401733,-0.010306,-1.01271176
613001,0.01197851,-0.010306,-1.00037026
613003,0.02401733,-0.010306,-1.00654101
613005,0.02401733,-0.01645893,-1.00654101
613008,0.02401733,-0.01645893,-1.00654101
613010,0.02401733,-0.01645893,-1.00654101
613012,0.02401733,-0.01645893,-1.00654101
613015,0.01799786,-0.01645893,-1.00037026
613017,0.00595915,-0.0226118,-1.01271176
613019,0.02401733,-0.010306,-0.99419951
613022,0.01799786,-0.00415313,-0.99419951
613024,0.01799786,-0.010306,-1.00037026
613026,0.02401733,-0.010306,-1.00037026
613028,0.02401733,-0.010306,-1.00037026
613031,0.02401733,-0.00415313,-1.00037026
613033,0.00595915,-0.0226118,-1.00654101
613036,0.02401733,-0.010306,-1.00037026
613039,0.01799786,-0.010306,-1.00037026
613041,0.01799786,-0.010306,-1.00037026
613043,0.01799786,-0.010306,-1.00037026
613046,0.01799786,-0.01645893,-1.00037026
613048,0.01799786,-0.010306,-1.00037026
613050,0.00595915,-0.03491759,-1.00654101
613053,0.02401733,-0.010306,-1.00037026
613055,0.02401733,-0.010306,-1.00037026
613057,0.01799786,-0.01645893,-1.00654101
613059,0.02401733,-0.010306,-1.00654101
613062,0.01799786,-0.010306,-1.00654101
613064,0.01799786,-0.01645893,-1.00654101
613066,0.01197851,-0.02876472,-1.01271176
613069,0.01799786,-0.010306,-1.00037026
613071,0.01799786,-0.010306,-1.00654101
613073,0.01799786,-0.01645893,-1.00037026
613076,0.02401733,-0.010306,-1.00654101
613079,0.01799786,-0.010306,-1.00654101
613081,0.01799786,-0.010306,-1.00654101
613084,0.02401733,-0.01645893,-1.00654101
613086,0.01799786,-0.01645893,-1.00037026
613088,0.01799786,-0.010306,-1.00037026
613090,0.02401733,-0.010306,-1.00654101
613093,0.01799786,-0.010306,-1.00037026
613095,0.01799786,-0.010306,-1.00654101
613097,0.01799786,-0.010306,-1.00654101
613100,0.02401733,-0.00415313,-1.00654101
613102,0.02401733,-0.00415313,-1.00037026
613104,0.02401733,-0.010306,-1.00037026
613107,0.01799786,-0.010306,-1.00654101
613109,0.01799786,-0.010306,-1.00037026
613111,0.01799786,-0.010306,-1.00037026
613114,0.02401733,-0.010306,-1.00654101
613116,0.03003669,-0.010306,-1.00037026
613118,0.02401733,-0.010306,-1.00654101
613121,0.02401733,-0.010306,-1.00654101
613124,0.02401733,-0.01645893,-1.00654101
613126,0.02401733,-0.01645893,-1.00037026
613128,0.01799786,-0.01645893,-1.00037026
613131,0.01799786,-0.01645893,-1.00654101
613133,0.02401733,-0.010306,-1.00654101
613135,0.02401733,-0.010306,-1.00654101
613138,0.02401733,-0.01645893,-1.00654101
613140,0.03003669,-0.01645893,-1.00037026
613142,0.02401733,-0.010306,-1.00654101
613144,0.02401733,-0.010306,-1.01271176
613147,0.01799786,-0.01645893,-1.01271176
613149,0.02401733,-0.010306,-1.00654101
613151,0.02401733,-0.010306,-1.00037026
613154,0.01799786,-0.010306,-1.00654101
613156,0.02401733,-0.010306,-1.00037026
613158,0.02401733,-0.010306,-1.00037026
613161,0.02401733,-0.010306,-1.00037026
613164,0.02401733,-0.01645893,-1.00654101
613166,0.02401733,-0.01645893,-1.00654101
613168,0.01799786,-0.01645893,-1.00037026
613171,0.01799786,-0.010306,-1.00654101
613173,0.01799786,-0.010306,-1.00654101
613175,0.01799786,-0.00415313,-1.00654101
613178,0.01799786,-0.00415313,-1.01271176
613180,0.02401733,-0.00415313,-1.00654101
613182,0.01799786,-0.010306,-1.00654101
613185,0.01197851,-0.01645893,-1.01271176
613187,0.02401733,-0.00415313,-1.00654101
613189,0.02401733,-0.010306,-1.01271176
613191,0.02401733,-0.010306,-1.01271176
613194,0.02401733,-0.010306,-1.00037026
613196,0.02401733,-0.010306,-1.00037026
613198,0.02401733,-0.01645893,-1.00037026
613201,0.02401733,-0.0226118,-1.00654101
613203,0.02401733,-0.010306,-1.00037026
613206,0.02401733,-0.010306,-0.99419951
613209,0.02401733,-0.010306,-0.99419951
613211,0.01799786,-0.010306,-1.00654101
613213,0.01799786,-0.010306,-1.00654101
613215,0.02401733,-0.010306,-1.00654101
613218,0.03003669,-0.00415313,-1.00654101
613220,0.01799786,-0.00415313,-1.00654101
613222,0.01799786,-0.010306,-1.00654101
613225,0.01799786,-0.01645893,-1.00654101
613227,0.01799786,-0.01645893,-1.00654101
613229,0.01799786,-0.010306,-1.00654101
